State ,Tribe Name                                                                            ,Casino Name                                       ,Address                                     ,Game Class Type                    ,Work Phone                            ,Work Fax                              ,Email Address
CA    ,Bear River Band of the Rohnerville Rancheria                                          ,Bear River Casino Resort                          ,266 Keisner Road                            ,Loleta CA 95551                    ,Class II & III (See 25 CFR 502.3 & 4) ,707-733-9644                          ,707-733-9614                          ,joeclaus@bearrivercasino.com
CA    ,Bear River Band of the Rohnerville Rancheria                                          ,Bear River Pump and Play                          ,266 Keisner Road                            ,Loleta CA 95551                    ,Class III (See 25 CFR 502.3 & 4)      ,707-733-9646                          ,707-733-9614                          ,joeclaus@bearrivercasino.com
CA    ,Berry Creek Rancheria of Maidu Indians of California                                  ,Gold Country Casino                               ,5 Tyme Way                                  ,Oroville CA 95966                  ,Class II & III (See 25 CFR 502.3 & 4) ,530-534-9892                          ,530-534-9173                          ,foppenheim@goldcountrycasino.com
CA    ,Big Sandy Band of Western Mono Indians                                                ,Mono Wind Casino                                  ,P.O. Box 337 37302 Rancheria Lane           ,Auberry CA 93602                   ,Class III (See 25 CFR 502.3 & 4)      ,559-855-4350                          ,559-855-4351                          ,ksmith@monowind.com
CA    ,Big Valley Band of Pomo Indians                                                       ,Konocti Vista Casino Resort & Marina              ,2726 Mission Rancheria Road                 ,Lakeport CA 95453                  ,Class III (See 25 CFR 502.3 & 4)      ,707-262-1900                          ,707-262-1978                          ,jgarcia@konocti-vista-casino.com
CA    ,Bishop Paiute Tribe                                                                   ,Wanaaha Casino fka Paiute Palace                  ,50 Tu Su Lane                               ,Bishop CA 93514                    ,Class II & III (See 25 CFR 502.3 & 4) ,760-873-4150                          ,760-873-3560                          ,mpadilla@wanaaha.com
CA    ,Blue Lake Rancheria                                                                   ,Playstation 777                                   ,P.O. Box 428 428 Chartin Road               ,Blue Lake CA 95525                 ,Class III (See 25 CFR 502.3 & 4)      ,707-668-9770                          ,707-668-9753                          ,jramos@bluelakecasino.com
CA    ,Blue Lake Rancheria                                                                   ,Blue Lake Casino                                  ,P.O. Box 428 428 Chartin Road               ,Blue Lake CA 95525                 ,Class II & III (See 25 CFR 502.3 & 4) ,707-668-9770                          ,707-668-9753                          ,jramos@bluelakecasino.com
CA    ,Buena Vista Rancheria of Me-Wuk Indians                                               ,Harrah's Northern California                      ,4650 Coal Mine Rd                           ,Ione CA 95640                      ,Class III (See 25 CFR 502.3 & 4)      ,866-915-0777                          ,209-274-9814                          ,lyahrling@caesars.com
CA    ,Cabazon Band of Mission Indians                                                       ,Fantasy Springs Resort Casino                     ,84-245 B Indio Springs Dr.                  ,Indio CA 92203                     ,Class II & III (See 25 CFR 502.3 & 4) ,760-342-5000                          ,760-342-6191                          ,pryan@fantasysprings.net
CA    ,Cachil Dehe Band of Wintun Indians of the Colusa Indian Community                     ,Colusa Casino Resort                              ,3730 Hwy 45                                 ,Colusa CA 95932                    ,Class II & III (See 25 CFR 502.3 & 4) ,530-458-8844                          ,530-458-2018                          ,vfernandez@colusacasino.com
CA    ,Cahuilla Band of Mission Indians of the Cahuilla Reservation                          ,Cahuilla Casino                                   ,P.O. Box 391760 52701 Highway 371           ,Anza CA 92539                      ,Class II & III (See 25 CFR 502.3 & 4) ,909-763-1200                          ,909-763-2050                          ,
CA    ,Campo Band of Diegueno Mission of the Campo Indian Reservation                        ,Golden Acorn Casino                               ,36190 Church Rd.                            ,Suite 1 PO Box 310                 ,Campo CA 91906                        ,Class III (See 25 CFR 502.3 & 4)      ,619-938-6000                          ,619-938-6100                                                                          ,
CA    ,Chemehuevi Indian Tribe of the Chemehuevi Reservation                                 ,Havasu Landing Resort & Casino                    ,P.O. Box 1976 1990 Palo Verde Dr.           ,Havasu Lake CA 92363               ,Class III (See 25 CFR 502.3 & 4)      ,760-858-4593                          ,760-858-4593                          ,tporcaro@myhlrc.com
CA    ,Cher-Ae Heights Indian Community of the Trinidad Rancheria                            ,Cher-Ae-Heights Casino                            ,P.O. Box 630                                ,Trinidad CA 95570                  ,Class II & III (See 25 CFR 502.3 & 4) ,707-677-3611                          ,707-677-9434                          ,ryansundberg@cheraeheights.com
CA    ,Chicken Ranch Rancheria of Me-wuk Indians of California                               ,Chicken Ranch Casino & Bingo                      ,P.O. Box 1159 16929 Chicken Ranch Rd.       ,Jamestown CA 95327                 ,Class II & III (See 25 CFR 502.3 & 4) ,209-984-3000                          ,209-984-3000                          ,bnelson@chickenranchcasino.com
CA    ,Coyote Valley Band of Pomo Indians                                                    ,Coyote Valley Mini Casino                         ,P.O. Box 39                                 ,Redwood Valley CA 95470            ,Class II (See 25 CFR 502.3 & 4)       ,707-485-0700                          ,707-467-4771                          ,mbilodeau@coyotevalleycasino.com
CA    ,Dry Creek Rancheria Band of Pomo Indians                                              ,California                                        ,River Rock Casino                           ,1450 Airport Blvd. Ste. 200A       ,Santa Rosa CA 95403                   ,Class III (See 25 CFR 502.3 & 4)      ,707-857-2777                          ,707-857-2726                                                                          ,sue.ascanio@riverrockcasino.com
CA    ,Elk Valley Rancheria                                                                  ,Elk Valley Casino                                 ,2332 Howland Hill Road                      ,Crescent City CA 95531             ,Class II & III (See 25 CFR 502.3 & 4) ,707-465-2651                          ,                                      ,smcclaflin@elk-valley.com
CA    ,Enterprise Rancheria of the Maidu Indians of California                               ,Rocktane Slots & Casino at Fire Mountain          ,2133 Monte Vista Avenue                     ,Oroville CA 95966                  ,Class III (See 25 CFR 502.3 & 4)      ,702-496-1166                          ,                                      ,mark.birtha@hrhcsac.com
CA    ,Federated Indians of Graton Rancheria                                                 ,Graton Resort & Casino                            ,6400 Redwood Dr. Suite 300                  ,Rohnert Park CA 94928              ,Class II & III (See 25 CFR 502.3 & 4) ,707-588-7051                          ,                                      ,kord.nichols@gratonresortcasino.com
CA    ,Fort Independence Indian Community of Paiute Indians of Fort Independence Reservation ,Oak Creek Casino                                  ,P.O. Box 67                                 ,Independence CA 93526              ,Class II (See 25 CFR 502.3 & 4)       ,760-878-2483                          ,760-878-2311                          ,casinomanager@fortindependence.com
CA    ,Habematolel Pomo of Upper Lake                                                        ,Running Creek Casino                              ,375 East Highway 20                         ,Suite 1 P.O. Box 516               ,Upper Lake CA 95485                   ,Class III (See 25 CFR 502.3 & 4)      ,707-262-5500                          ,707-262-5170                                                                          ,
CA    ,Hoopa Valley Tribe                                                                    ,Lucky Bear Casino                                 ,P.O. Box 1348 NF Building Highway 96        ,Hoopa CA 95546                     ,Class II & III (See 25 CFR 502.3 & 4) ,530-625-5198                          ,530-625-4050                          ,luckybearmanager@hoopa-nsn.gov
CA    ,Jackson Band of Miwuk Indians                                                         ,Jackson Rancheria Casino & Hotel                  ,P.O. Box 1090/12222 New York Ranch Road     ,Jackson CA 95642                   ,Class II & III (See 25 CFR 502.3 & 4) ,209-223-8651                          ,209-223-8320                          ,mturngren@jacksoncasino.com
CA    ,Jamul Indian Village of California                                                    ,Jamul Casino                                      ,P.O. Box 612 14191 Hwy 94                   ,Jamul CA 91935                     ,Class III (See 25 CFR 502.3 & 4)      ,                                      ,                                      ,Mary.cheeks@jamulcasinosd.com
CA    ,Karuk Tribe                                                                           ,Rain Rock Casino                                  ,P.O. Box 1016 64236 2nd Ave.                ,Happy Camp CA 96039                ,Class III (See 25 CFR 502.3 & 4)      ,530-331-9858                          ,530-841-7143                          ,mrose@rainrockcasino.com
CA    ,Lytton Rancheria of California                                                        ,San Pablo Lytton Casino                           ,437 Aviation Blvd.                          ,Santa Rosa CA 95403                ,Class II (See 25 CFR 502.3 & 4)       ,510-215-7888                          ,00-000-0000                           ,michael.gorczynski@sanpablolytton.com
CA    ,Manchester Band of Pomo Indians of the Manchester Rancheria                           ,California                                        ,Garcia River Casino                         ,P.O. Box 623 24 Mamie Laiwa Dr.    ,Point Arena CA 95468                  ,Class III (See 25 CFR 502.3 & 4)      ,707-467-5301                          ,707-467-5330                                                                          ,scottlaiwa@manchestergc.com
CA    ,Middletown Rancheria of Pomo Indians of California                                    ,Twin Pine Casino                                  ,P.O. Box 1035 22223 Hwy 29 @ Rancheria Rd   ,Middletown CA 95461                ,Class II & III (See 25 CFR 502.3 & 4) ,707-987-0197                          ,707-987-0375                          ,sditchkus@twinpine.com
CA    ,Mooretown Rancheria of Maidu Indians of California                                    ,Feather Falls Casino                              ,#1 Alverda Drive                            ,Oroville CA 95966                  ,Class II & III (See 25 CFR 502.3 & 4) ,530-533-3885                          ,530-533-3653                          ,ed.gilbert@featherfalls.com
CA    ,Morongo Band of Mission Indians                                                       ,Morongo Travel Center @ Morongo Trail             ,12700 Pumarra Road                          ,Banning CA 92220                   ,Class II & III (See 25 CFR 502.3 & 4) ,951-849-2895                          ,951-849-3181                          ,lbroderick@morongo-nsn.gov
CA    ,Morongo Band of Mission Indians                                                       ,Casino Morongo                                    ,12700 Pumarra Road                          ,Banning CA 92220                   ,Class II & III (See 25 CFR 502.3 & 4) ,951-849-3080                          ,951-849-3181                          ,jeff_martin@morongo.com
CA    ,Morongo Band of Mission Indians                                                       ,Morongo Travel Center @ Seminole Dr.              ,12700 Pumarra Road                          ,Banning CA 92220                   ,Class II (See 25 CFR 502.3 & 4)       ,951-849-2895                          ,951-849-5345                          ,Rstjean@morongo.com
CA    ,Morongo Band of Mission Indians                                                       ,Morongo Casino Resort & Spa                       ,12700 Pumarra Road                          ,Banning CA 92220                   ,Class II & III (See 25 CFR 502.3 & 4) ,800-252-4499                          ,951-849-3181                          ,Rstjean@morongo.com
CA    ,Morongo Band of Mission Indians                                                       ,Morongo Canyon Lanes                              ,12700 Pumarra Road                          ,Banning CA 92220                   ,Class II (See 25 CFR 502.3 & 4)       ,909-849-3080                          ,909-849-3181                          ,Rstjean@morongo.com
CA    ,Pala Band of Luiseno Mission Indians of the Pala Reservation                          ,Pala Casino Resort and Spa                        ,35008 Pala Temecula Road PMB 50             ,Pala CA 92059                      ,Class II & III (See 25 CFR 502.3 & 4) ,877-946-7252                          ,760-510-5190                          ,fburo@palacasino.com or malopez@palacasino.com
CA    ,Paskenta Band of Nomlaki Indians                                                      ,The Links at Rolling Hills                        ,2655 Everett Freeman Way PO Box 709         ,Corning CA 96021-9336              ,Class II (See 25 CFR 502.3 & 4)       ,530-528-3531                          ,530-526-1205                          ,tedwards@paskenta.org
CA    ,Paskenta Band of Nomlaki Indians                                                      ,The Convenience Store                             ,2655 Everett Freeman Way PO Box 709         ,Corning CA 96021-9336              ,Class II (See 25 CFR 502.3 & 4)       ,530-528-3531                          ,530-526-1205                          ,tedwards@paskenta.org
CA    ,Paskenta Band of Nomlaki Indians                                                      ,The Equestrian Center                             ,2655 Everett Freeman Way PO Box 709         ,Corning CA 96021-9336              ,Class II (See 25 CFR 502.3 & 4)       ,530-528-3531                          ,530-526-1205                          ,tedwards@paskenta.org
CA    ,Paskenta Band of Nomlaki Indians                                                      ,The Travel Center                                 ,2655 Everett Freeman Way PO Box 709         ,Corning CA 96021-9336              ,Class II (See 25 CFR 502.3 & 4)       ,530-528-3531                          ,530-526-1205                          ,tedwards@paskenta.org
CA    ,Paskenta Band of Nomlaki Indians                                                      ,Rolling Hills Casino                              ,2655 Everett Freeman Way PO Box 709         ,Corning CA 96021-9336              ,Class III (See 25 CFR 502.3 & 4)      ,530-528-3566                          ,530-528-3593                          ,sneely@rollinghillscasino.com
CA    ,Pauma Band of Luiseno Mission Indians of the Pauma - Yuima Reservation                ,Casino Pauma                                      ,1010 Pauma Reservation Road P.O. Box 369    ,Pauma Valley CA 92061              ,Class II & III (See 25 CFR 502.3 & 4) ,760-742-2177                          ,760-742-2438                          ,jthomason@casinopauma.com
CA    ,Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation                  ,Pechanga Resort and Casino                        ,P.O. Box 1477 12705 Pechanga Rd.            ,Temecula CA 92593                  ,Class II & III (See 25 CFR 502.3 & 4) ,951-693-1819                          ,951-362-7410                          ,tbrink@pechanga.com
CA    ,Picayune Rancheria of Chukchansi Indians                                              ,Chukchansi Gold Resort and Casino                 ,49260 Chapel Hill                           ,Oakhurst CA 93644                  ,Class III (See 25 CFR 502.3 & 4)      ,559-692-5503                          ,000-000-0000                          ,bryant.martin@chukchansigold.com
CA    ,Pit River Tribe                                                                       ,Pit River Casino                                  ,36970 Park Ave                              ,Burney CA 96013                    ,Class III (See 25 CFR 502.3 & 4)      ,530-335-2334                          ,530-335-2362                          ,i.vargas@pitrivercasino.com
AZ    ,Quechan Indian Tribe/CA                                                               ,Quechan Casino Resort                             ,350 Picacho Rd. PO Box 1899                 ,Yuma AZ 85366                      ,Class II & III (See 25 CFR 502.3 & 4) ,877-783-2426                          ,760-572-2036                          ,cmontague@playqcr.com
AZ    ,Quechan Tribe of the Fort Yuma Indian Reservation                                     ,CA and AZ                                         ,Quechan Casino Resort                       ,P.O. Box 1899                      ,Yuma AZ 85366                         ,Class II & III (See 25 CFR 502.3 & 4) ,877-783-2426                          ,760-572-2036                                                                          ,cmontague@playqcr.com
AZ    ,Quechan Paradise Casino                                                               ,Quechan Paradise Casino                           ,P.O. Box 1899                               ,Yuma AZ 85366                      ,Class II & III (See 25 CFR 502.3 & 4) ,760-572-7777                          ,760-572-2471                          ,cmontague@paradisecasinos.com
CA    ,Yurok Tribe                                                                           ,Redwood Hotel Casino                              ,171 Klamath Blvd                            ,Klamath CA 95548                   ,Class II & III (See 25 CFR 502.3 & 4) ,707-482-1777                          ,707-482-2477                          ,aorcutt@yuroktribe.nsn.us
CA    ,Zigron Resort                                                                         ,Zigron Resort & Casino                            ,101 Zigron Way                              ,Zigron CA 90001                    ,Class II & III (See 25 CFR 502.3 & 4) ,000-000-0000                          ,000-000-0000                          ,support@zigroncasino.com
CA    ,Pala Band of Luiseno Mission Indians of the Pala Reservation                          ,Pala Casino Resort and Spa                        ,35008 Pala Temecula Road PMB 50             ,Pala CA 92059                      ,Class II & III                        ,877-946-7252                          ,760-510-5190                          ,fburo@palacasino.com
CA    ,Pala Band of Luiseno Mission Indians of the Pala Reservation                          ,Pala Casino Resort and Spa                        ,35008 Pala Temecula Road PMB 50             ,Pala CA 92059                      ,Class II & III                        ,877-946-7252                          ,760-510-5190                          ,malopez@palacasino.com
CA    ,Paskenta Band of Nomlaki Indians                                                      ,The Links at Rolling Hills                        ,2655 Everett Freeman Way PO Box 709         ,Corning CA 96021-9336              ,Class II                              ,530-528-3531                          ,530-526-1205                          ,tedwards@paskenta.org
CA    ,Paskenta Band of Nomlaki Indians                                                      ,The Convenience Store                             ,2655 Everett Freeman Way PO Box 709         ,Corning CA 96021-9336              ,Class II                              ,530-528-3531                          ,530-526-1205                          ,tedwards@paskenta.org
CA    ,Paskenta Band of Nomlaki Indians                                                      ,The Equestrian Center                             ,2655 Everett Freeman Way PO Box 709         ,Corning CA 96021-9336              ,Class II                              ,530-528-3531                          ,530-526-1205                          ,tedwards@paskenta.org
CA    ,Paskenta Band of Nomlaki Indians                                                      ,The Travel Center                                 ,2655 Everett Freeman Way PO Box 709         ,Corning CA 96021-9336              ,Class II                              ,530-528-3531                          ,530-526-1205                          ,tedwards@paskenta.org
CA    ,Paskenta Band of Nomlaki Indians                                                      ,Rolling Hills Casino                              ,2655 Everett Freeman Way PO Box 709         ,Corning CA 96021-9336              ,Class III                             ,530-528-3566                          ,530-528-3593                          ,sneely@rollinghillscasino.com
CA    ,Pauma Band of Luiseno Mission Indians of the Pauma - Yuima Reservation                ,Casino Pauma                                      ,1010 Pauma Reservation Road P.O. Box 369    ,Pauma Valley CA 92061              ,Class II & III                        ,760-742-2177                          ,760-742-2438                          ,jthomason@casinopauma.com
CA    ,Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation                  ,Pechanga Resort and Casino                        ,P.O. Box 1477 12705 Pechanga Rd.            ,Temecula CA 92593                  ,Class II & III                        ,951-693-1819                          ,951-362-7410                          ,tbrink@pechanga.com
CA    ,Picayune Rancheria of Chukchansi Indians                                              ,Chukchansi Gold Resort and Casino                 ,49260 Chapel Hill                           ,Oakhurst CA 93644                  ,Class III                             ,559-692-5503                          ,000-000-0000                          ,bryant.martin@chukchansigold.com
CA    ,Pit River Tribe                                                                       ,Pit River Casino                                  ,36970 Park Ave                              ,Burney CA 96013                    ,Class III                             ,530-335-2334                          ,530-335-2362                          ,i.vargas@pitrivercasino.com
CA    ,Quechan Indian Tribe/CA                                                               ,Quechan Casino Resort                             ,350 Picacho Rd. PO Box 1899 Yuma AZ 85366   ,Class II & III                     ,877-783-2426                          ,760-572-2036                          ,cmontague@playqcr.com
AZ    ,Quechan Paradise Casino                                                               ,P.O. Box 1899                                     ,Yuma AZ 85366                               ,Class II & III                     ,760-572-7777                          ,760-572-2471                          ,cmontague@paradisecasinos.com
CA    ,Yurok Tribe                                                                           ,Redwood Hotel Casino                              ,171 Klamath Blvd                            ,Klamath CA 95548                   ,Class II & III                        ,707-482-1777                          ,707-482-2477                          ,aorcutt@yuroktribe.nsn.us
CA    ,Zigron Resort                                                                         ,Zigron Resort & Casino                            ,101 Zigron Way                              ,Zigron CA 90001                    ,Class II & III                        ,000-000-0000                          ,info@zigroncasino.com
WA    ,Snoqualmie Indian Tribe                                                               ,Snoqualmie Casino                                 ,37500 S.E. North Bend Way                   ,Snoqualmie WA 98065                ,Class II & III                        ,425-888-1234                          ,425-831-4936                          ,rkalama@snoqualmietribe.us
CO    ,Southern Ute Indian Tribe                                                             ,Sky Ute Casino Resort                             ,14324 Hwy. 172 North                        ,Ignacio CO 81137                   ,Class II & III                        ,970-563-7777                          ,970-563-7825                          ,customerservice@skyutecasino.com
WA    ,Spokane Tribe of Indians                                                              ,Spokane Tribe Casino                              ,14300 W. SR-2 Hwy.                          ,Airway Heights WA 99001            ,Class II & III                        ,877-786-9467                          ,509-458-7192                          ,spokanecasino@spokanetribe.com
SD    ,Sisseton-Wahpeton Sioux Tribe                                                         ,Dakota Connection Casino                          ,46102 S.D. Highway 10                       ,Sisseton SD 57262                  ,Class II & III                        ,605-698-4273                          ,605-698-3100                          ,melanieh@swst.org
ID    ,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho                         ,Shoshone-Bannock Casino Hotel                     ,P.O. Box 306                                ,Fort Hall ID 83203                 ,Class II & III                        ,208-238-4800                          ,208-237-8760                          ,info@shobanhotel.com
WA    ,Shoalwater Bay Indian Tribe                                                           ,Shoalwater Bay Casino                             ,4112 Hwy. 105 Tokeland WA 98590             ,Class II & III                     ,360-267-2048                          ,360-267-0198                          ,lhouse@shoalwaterbay-nsn.gov
CA    ,Redding Rancheria                                                                     ,Win-River Casino                                  ,2000 Redding Rancheria Road                 ,Redding CA 96001                   ,Class II & III                        ,530-351-1625                          ,530-241-1879                          ,don.hayward@win-river.com
