State ,Tribe Name                                                                            ,Casino_Name                                                 ,Address                                                               ,Game Class Type                       ,Work Phone   ,Work Fax                  ,Email Address                                                                         ,SeatsSlots ,Open_Date ,SquareFeetGaming ,RenovationDate ,Revenue_FY23        ,Cost
AZ    ,Gila River Indian Community of the Gila River Indian Reservation (Arizona)            ,Vee Quiva Casino                                            ,6443 North Komatke Lane Laveen Arizona 85339                          ,Class II & III                        ,520-796-1920 ,520-796-7712              ,denise.pfaff@gilacasino.com                                                           ,      1200 ,     1995 ,           70000 ,          2013 ,147.36         , 135000000
AZ    ,Gila River Indian Community of the Gila River Indian Reservation (Arizona)            ,Wild Horse Pass Casino                                      ,5040 Wild Horse Pass Blvd Chandler AZ 85226                           ,Class II & III                        ,520-796-7139 ,520-796-7712              ,scott.ogorman@gilacasino.com                                                          ,      1400 ,     2009 ,          100000 ,          2020 ,171.92         , 480000000
AZ    ,Gila River Indian Community of the Gila River Indian Reservation (Arizona)            ,Lone Butte Casino                                           ,1077 S Kyrene Rd Chandler AZ 85226                                    ,Class II & III                        ,520-796-4903 ,520-796-7712              ,jaime.martinez@wingilariver.com                                                       ,      1400 ,     2008 ,          120000 ,          2021 ,171.92         , 240000000
AZ    ,Navajo Nation                                                                         ,Twin Arrows Navajo Casino Resort                            ,22181 Resort Blvd Flagstaff AZ 86004                                  ,Class II & III                        ,928-856-7200 ,928-856-7280              ,brycewarren@nnge.org                                                                  ,      1100 ,     2013 ,          267000 ,               ,  6.2          , 175000000
AZ    ,Pascua Yaqui Tribe of Arizona                                                         ,Casino Del Sol                                              ,5655 W Valencia Rd Tucson AZ 85757                                    ,Class II                              ,520-838-6508 ,520-838-6706              ,Kimberly.VanAmburg@casinodelsol.com                                                   ,      1300 ,     2011 ,           65000 ,          2019 , 73            , 100000000
AZ    ,Pascua Yaqui Tribe of Arizona                                                         ,Casino of the Sun                                           ,7406 S Camino De Oeste Tucson AZ 85746                                ,Class III                             ,520-879-5450 ,520-883-0983              ,Kimberly.VanAmburg@casinodelsol.com                                                   ,       410 ,     1994 ,           50000 ,               ,  1            ,          
AZ    ,Salt River Pima-Maricopa Indian Community                                             ,Casino Arizona                                              ,524 N 92nd St Scottsdale AZ 85256                                     ,Class II & III                        ,480-580-4083 ,480-362-5488              ,Trenni.Martinez@srpmic-nsn.gov                                                        ,       998 ,     1998 ,          100000 ,               ,  1.7          ,          
AZ    ,Salt River Pima-Maricopa Indian Community                                             ,Talking Stick Resort                                        ,9800 Talking Stick Way Scottsdale AZ 85256                            ,Class II & III                        ,480-270-5568 ,480-362-5488              ,Blossom.Maldonado@srpmic-nsn.gov                                                      ,       850 ,     2010 ,           98000 ,               ,190.5          , 450000000
AZ    ,San Carlos Apache Tribe of the San Carlos Reservation                                 ,Apache Gold Casino                                          ,777 Geronimo Springs Blvd San Carlos AZ 85550                         ,Class II & III                        ,928-475-7800 ,928-475-7692              ,lindamichels@agcr.us                                                                  ,       482 ,     1994 ,           60000 ,               ,  1.7          ,          
AZ    ,San Carlos Apache Tribe of the San Carlos Reservation                                 ,Apache Sky Casino                                           ,777 Apache Sky Blvd Winkelmam AZ 85192                                ,Class III                             ,928-475-0077 ,982-475-7692              ,LeeRandall@agcr.us                                                                    ,       300 ,     2017 ,           15000 ,               ,  5            ,  26000000
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Casino West Valley Si'al Ke                  ,9431 W Northern Ave Glendale AZ 85305                                 ,Class II & III                        ,623-633-8730 ,520-342-2129              ,jfdelgado@ddcaz.com                                                                   ,      1400 ,     2015 ,           75000 ,               ,163.8645896    , 450000000
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Why                                          ,Highway 86 Milepost 55 Why AZ 5321                                    ,Class III                             ,520-362-2746 ,520-362-2885              ,dchilton@ddcaz.com                                                                    ,        75 ,     1999 ,                 ,               ,  8.778460156  ,          
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Tucson                                       ,7350 S Nogales Hwy Tucson AZ 85756                                    ,Class II & III                        ,520-294-7777 ,520-342-2019              ,dchilton@ddcaz.com                                                                    ,      1300 ,     1987 ,          164000 ,          2007 ,152.159976     ,  90000000
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Sahuarita                                    ,1100 W Pima Mine Rd Sahuarita AZ 85629                                ,Class II & III                        ,520-294-7777 ,520-342-2019              ,dchilton@ddcaz.com                                                                    ,       563 ,     2001 ,          180000 ,               , 65.89697424   ,          
AZ    ,Tonto Apache Tribe of Arizona                                                         ,Mazatzal Hotel & Casino                                     ,Highway 87 Mile Marker 251 Payson AZ 85541                            ,Class II & III                        ,928-474-6044 ,928-472-2069              ,hnanty@mazatzal.com                                                                   ,       400 ,     1993 ,          120000 ,               , 18.2          ,          
AZ    ,White Mountain Apache Tribe of the Fort Apache Reservation (Arizona)                  ,Hon Dah Resort - Casino                                     ,777 AZ-260 Pinetop AZ 85935                                           ,Class II & III                        ,928-369-0299 ,928-369-0382              ,elockett@hon-dah.com                                                                  ,       829 ,     1993 ,           18600 ,               ,  6.1          ,          
AZ    ,Yavapai-Apache Nation of the Camp Verde Indian Reservation                            ,Cliff Castle Casino                                         ,2400 W. Datsi Street Camp Verde AZ 86322                              ,Class II & III (See 25 CFR 502.3 & 4) ,928-567-7900 ,928-567-7901              ,rrubio@cliffcastlecasino.net                                                          ,       650 ,     1995 ,          114000 ,          2016 , 63.7          ,  30000000
AZ    ,Yavapai-Prescott Indian Tribe                                                         ,Bucky's Casino                                              ,1500 E. Highway 69 Prescott AZ 86301                                  ,Class II & III (See 25 CFR 502.3 & 4) ,928-778-7909 ,928-771-0653              ,bogo@ypit.com                                                                         ,       475 ,     1992 ,           24000 ,               ,  6.9          ,  40000000
AZ    ,Yavapai-Prescott Indian Tribe                                                         ,Yavapai Gaming Center                                       ,1505 AZ-69 Prescott AZ 86301                                          ,Class III (See 25 CFR 502.3 & 4)      ,928-445-5767 ,928-771-0653              ,                                                                                      ,       175 ,     1994 ,            6000 ,               ,  2            ,          
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Casino Rancho Mirage                          ,32-250 Bob Hope Dr Rancho Mirage CA 92270                             ,Class II & III (See 25 CFR 502.3 & 4) ,760-883-1000 ,760-202-2616              ,sscheri@accmail.net                                                                   ,      1500 ,     2001 ,           77000 ,          2008 ,217.1065655    , 400000000
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Fuel                                          ,32-279 Bob Hope Dr Rancho Mirage CA 92270                             ,Class II (See 25 CFR 502.3 & 4)       ,760-883-1000 ,                          ,sscheri@accmail.net                                                                   ,        31 ,     2021 ,             750 ,               ,  4.48686902   ,          
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Casino Cathedral City                         ,68960 E Palm Canyon Dr Cathedral City CA 92234                        ,Class III (See 25 CFR 502.3 & 4)      ,760-833-1000 ,760-202-2616              ,sscheri@accmail.net                                                                   ,       500 ,     2020 ,           38000 ,               , 72.36885516   , 250000000
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Casino Palm Springs                           ,401 E Amado Rd Palm Springs CA 92262                                  ,Class III (See 25 CFR 502.3 & 4)      ,760-883-1000 ,760-883-1289              ,cgraham@accmail.net                                                                   ,      1000 ,     2000 ,           40000 ,               ,144.7377103    ,  80000000
CA    ,Alturas Indian Rancheria                                                              ,Desert Rose Casino                                          ,901 Co Rd 56 Alturas CA 96101                                         ,Class II & III (See 25 CFR 502.3 & 4) ,530-233-3141 ,530-233-3170              ,pdisario@desertrosecasino.net                                                         ,       128 ,     1999 ,            6200 ,               ,  0.7          ,   9000000
CA    ,Augustine Band of Cahuilla Indians                                                    ,Augustine Casino                                            ,84-001 Avenue 54 Coachella CA 92236                                   ,Class III (See 25 CFR 502.3 & 4)      ,760-398-9500 ,760-391-9045              ,jbauer@augustinecasino.com                                                            ,       800 ,     2002 ,           42000 ,          2016 , 52.3          ,          
CA    ,Barona Group of Capitan Grande Band of Mission Indians                                ,Barona Valley Ranch Resort and Casino                       ,1932 Wildcat Canyon Rd Lakeside CA 92040                              ,Class II & III (See 25 CFR 502.3 & 4) ,619-443-2300 ,619-443-6977              ,                                                                                      ,      2200 ,     1993 ,          300000 ,          2003 ,440            , 260000000
CA    ,Bear River Band of the Rohnerville Rancheria                                          ,Bear River Casino Resort                                    ,11 Bear Paws Way Loleta CA 95551                                      ,Class II & III (See 25 CFR 502.3 & 4) ,707-733-9644 ,707-733-9614              ,joeclaus@bearrivercasino.com                                                          ,       350 ,     2012 ,           13060 ,          2017 , 60            ,          
CA    ,Bear River Band of the Rohnerville Rancheria                                          ,Bear River Pump and Play                                    ,10 Bear Paws Way Loleta CA 95551                                      ,Class III (See 25 CFR 502.3 & 4)      ,707-733-9646 ,707-733-9614              ,joeclaus@bearrivercasino.com                                                          ,        38 ,     2020 ,                 ,               ,  1.8          ,   2500000
CA    ,Berry Creek Rancheria of Maidu Indians of California                                  ,Gold Country Casino                                         ,4020 Olive Hwy Oroville CA 95966                                      ,Class II & III (See 25 CFR 502.3 & 4) ,530-534-9892 ,530-534-9173              ,foppenheim@goldcountrycasino.com                                                      ,       950 ,     2005 ,           60000 ,               , 44.8          ,   1500000
CA    ,Big Sandy Band of Western Mono Indians                                                ,Mono Wind Casino                                            ,37302 Rancheria Ln Auberry CA 93602                                   ,Class III (See 25 CFR 502.3 & 4)      ,559-855-4350 ,559-855-4351              ,ksmith@monowind.com                                                                   ,       350 ,     1995 ,           10000 ,          2025 ,  2.9          , 400000000
CA    ,Big Valley Band of Pomo Indians                                                       ,Konocti Vista Casino Resort & Marina                        ,2755 Mission Rancheria Rd Lakeport CA 95453                           ,Class III (See 25 CFR 502.3 & 4)      ,707-262-1900 ,707-262-1978              ,jgarcia@konocti-vista-casino.com                                                      ,       249 ,     2013 ,           20000 ,               , 11.7          ,          
CA    ,Bishop Paiute Tribe                                                                   ,Wanaaha Casino fka Paiute Palace                            ,2742 N Sierra Hwy Bishop CA 93514                                     ,Class II & III (See 25 CFR 502.3 & 4) ,760-873-4150 ,760-873-3560              ,mpadilla@wanaaha.com                                                                  ,       500 ,     2020 ,           28800 ,               , 17.7          , 118000000
CA    ,Blue Lake Rancheria                                                                   ,Playstation 777                                             ,Casino Way Blue Lake CA 95525                                         ,Class III (See 25 CFR 502.3 & 4)      ,707-668-9770 ,707-668-9753              ,jramos@bluelakecasino.com                                                             ,        77 ,     2020 ,                 ,               ,  5            ,          
CA    ,Blue Lake Rancheria                                                                   ,Blue Lake Casino                                            ,777 Casino Way Blue Lake CA 95525                                     ,Class II & III (See 25 CFR 502.3 & 4) ,707-668-9770 ,707-668-9753              ,jramos@bluelakecasino.com                                                             ,       611 ,     2020 ,           44502 ,               , 35.6          ,          
CA    ,Buena Vista Rancheria of Me-Wuk Indians                                               ,Harrah's Northern California                                ,4640 Coal Mine Rd Ione CA 95640                                       ,Class III (See 25 CFR 502.3 & 4)      ,866-915-0777 ,209-274-9814              ,lyahrling@caesars.com                                                                 ,       950 ,     2019 ,           25000 ,               ,  7.5          , 168000000
CA    ,Cabazon Band of Mission Indians                                                       ,Fantasy Springs Resort Casino                               ,84-245 Indio Springs Pkwy Indio CA 92203                              ,Class II & III (See 25 CFR 502.3 & 4) ,760-342-5000 ,760-342-6191              ,pryan@fantasysprings.net                                                              ,      1800 ,     2004 ,          100000 ,               ,  5.7          , 200000000
CA    ,Cachil Dehe Band of Wintun Indians of the Colusa Indian Community                     ,Colusa Casino Resort                                        ,3770 CA-45 Colusa CA 95932                                            ,Class II & III (See 25 CFR 502.3 & 4) ,530-458-8844 ,530-458-2018              ,vfernandez@colusacasino.com                                                           ,      1200 ,     1986 ,           50000 ,          2004 , 13            , 300000000
CA    ,Cahuilla Band of Mission Indians of the Cahuilla Reservation                          ,Cahuilla Casino                                             ,52702 CA-371 Anza CA 92539                                            ,Class II & III (See 25 CFR 502.3 & 4) ,909-763-1200 ,909-763-2050              ,                                                                                      ,       353 ,     1996 ,           14000 ,          2019 ,  2.2          ,  35200000
CA    ,Campo Band of Diegueno Mission of the Campo Indian Reservation                        ,Golden Acorn Casino                                         ,1800 Golden Acorn Way Campo CA 91906                                  ,Class III (See 25 CFR 502.3 & 4)      ,619-938-6000 ,619-938-6100              ,                                                                                      ,       720 ,     2001 ,           32000 ,          2019 , 35            ,  50000000
CA    ,Chemehuevi Indian Tribe of the Chemehuevi Reservation                                 ,Havasu Landing Resort & Casino                              ,13145 Havasu Lake Rd Needles CA 92363                                 ,Class III (See 25 CFR 502.3 & 4)      ,760-858-4593 ,760-858-4593              ,tporcaro@myhlrc.com                                                                   ,       250 ,     2019 ,           72500 ,               , 15.6          ,  40000000
CA    ,Cher-Ae Heights Indian Community of the Trinidad Rancheria                            ,Cher-Ae-Heights Casino                                      ,27 Scenic Drive Trinidad Ca 95570                                     ,Class II & III (See 25 CFR 502.3 & 4) ,707-677-3611 ,707-677-9434              ,ryansundberg@cheraeheights.com                                                        ,       300 ,     1988 ,           50000 ,          2001 , 35.8          ,    400000
CA    ,Chicken Ranch Rancheria of Me-wuk Indians of California                               ,Chicken Ranch Casino & Bingo                                ,9100 People of the Mountain Rd Jamestown CA 95327                     ,Class II & III (See 25 CFR 502.3 & 4) ,209-984-3000 ,209-984-3000              ,bnelson@chickenranchcasino.com                                                        ,       600 ,     2000 ,           70000 ,          2019 , 23.1          , 325000000
CA    ,Coyote Valley Band of Pomo Indians                                                    ,Coyote Valley Mini Casino                                   ,77 BIA Rd 228 Redwood Valley CA 95470                                 ,Class II (See 25 CFR 502.3 & 4)       ,707-485-0700 ,707-467-4771              ,mbilodeau@coyotevalleycasino.com                                                      ,        50 ,     2016 ,            3600 ,               ,  1.1          ,    150000
CA    ,Dry Creek Rancheria Band of Pomo Indians                                              ,River Rock Casino                                           ,3250 CA-128 Geyserville CA 95441                                      ,Class III (See 25 CFR 502.3 & 4)      ,707-857-2777 ,707-857-2726              ,sue.ascanio@riverrockcasino.com                                                       ,      1000 ,     2002 ,           30000 ,          2024 , 62            , 300000000
CA    ,Elk Valley Rancheria                                                                  ,Elk Valley Casino                                           ,2021 Elk Rnch Rd Crescent City CA 95531                               ,Class II & III (See 25 CFR 502.3 & 4) ,707-465-2651 ,                          ,smcclaflin@elk-valley.com                                                             ,       300 ,     1995 ,           36000 ,          2022 ,  5.8          ,  30000000
CA    ,Enterprise Rancheria of the Maidu Indians of California                               ,Rocktane Slots & Casino at Fire Mountain                    ,3317 Forty Mile Road Wheatland California 95682                       ,Class III (See 25 CFR 502.3 & 4)      ,702-496-1166 ,                          ,mark.birtha@hrhcsac.com                                                               ,      1500 ,     2019 ,           62000 ,               , 62            , 440000000
CA    ,Federated Indians of Graton Rancheria                                                 ,Graton Resort & Casino                                      ,288 Golf Course Dr W Rohnert Park CA 94928                            ,Class II & III (See 25 CFR 502.3 & 4) ,707-588-7051 ,                          ,kord.nichols@gratonresortcasino.com                                                   ,      3000 ,     2016 ,          135000 ,          2015 ,304.7          , 450000000
CA    ,Fort Independence Indian Community of Paiute Indians of Fort Independence Reservation ,Oak Creek Casino                                            ,139 US-395 Independence CA 93526                                      ,Class II (See 25 CFR 502.3 & 4)       ,760-878-2483 ,760-878-2311              ,casinomanager@fortindependence.com                                                    ,       200 ,     2012 ,           33000 ,               , 15            ,          
CA    ,Habematolel Pomo of Upper Lake                                                        ,Running Creek Casino                                        ,635 CA-20 Upper Lake CA 95485                                         ,Class III (See 25 CFR 502.3 & 4)      ,707-262-5500 ,707-262-5170              ,                                                                                      ,       200 ,     2012 ,           33000 ,               , 26.7          ,          
CA    ,Hoopa Valley Tribe                                                                    ,Lucky Bear Casino                                           ,12510 CA-96 Hoopa CA 95546                                            ,Class II & III (See 25 CFR 502.3 & 4) ,530-625-5198 ,530-625-4050              ,luckybearmanager@hoopa-nsn.gov                                                        ,       100 ,     1995 ,            5000 ,               ,  2            ,          
CA    ,Jackson Band of Miwuk Indians                                                         ,Jackson Rancheria Casino & Hotel                            ,12222 New York Ranch Rd Jackson CA 95642                              ,Class II & III (See 25 CFR 502.3 & 4) ,209-223-8651 ,209-223-8320              ,mturngren@jacksoncasino.com                                                           ,      1525 ,     1991 ,          271000 ,          2012 , 38            ,  80000000
CA    ,Jamul Indian Village of California                                                    ,Jamul Casino                                                ,14145 Campo Rd Jamul CA 91935                                         ,Class III (See 25 CFR 502.3 & 4)      ,             ,                          ,Mary.cheeks@jamulcasinosd.com                                                         ,      1700 ,     2016 ,          200000 ,               , 10.7          , 515000000
CA    ,Karuk Tribe                                                                           ,Rain Rock Casino                                            ,777 Casino Way Yreka CA 96097                                         ,Class III (See 25 CFR 502.3 & 4)      ,530-331-9858 ,530-841-7143              ,mrose@rainrockcasino.com                                                              ,       349 ,     2018 ,            6000 ,          2023 ,  5            ,  40000000
CA    ,Lytton Rancheria of California                                                        ,San Pablo Lytton Casino                                     ,13255 San Pablo Ave San Pablo CA 94806                                ,Class II (See 25 CFR 502.3 & 4)       ,510-215-7888 ,00-000-0000               ,michael.gorczynski@sanpablolytton.com                                                 ,      1500 ,     2002 ,           64000 ,               , 96            ,   6000000
CA    ,Manchester Band of Pomo Indians of the Manchester Rancheria                           ,Garcia River Casino                                         ,22215 Windy Hollow Rd Point Arena CA 95468                            ,Class III (See 25 CFR 502.3 & 4)      ,707-467-5301 ,707-467-5330              ,scottlaiwa@manchestergc.com                                                           ,       200 ,     2011 ,            4800 ,               ,  5            ,          
CA    ,Middletown Rancheria of Pomo Indians of California                                    ,Twin Pine Casino                                            ,22223 CA-29 Middletown CA 95461                                       ,Class II & III (See 25 CFR 502.3 & 4) ,707-987-0197 ,707-987-0375              ,sditchkus@twinpine.com                                                                ,       500 ,     1994 ,          107000 ,          2009 ,  1.9          ,  42000000
CA    ,Mooretown Rancheria of Maidu Indians of California                                    ,Feather Falls Casino                                        ,Feather Falls Casino & Lodge 3 Alverda Dr Oroville CA 95966           ,Class II & III (See 25 CFR 502.3 & 4) ,530-533-3885 ,530-533-3653              ,ed.gilbert@featherfalls.com                                                           ,       300 ,     1996 ,           11000 ,          1998 ,  2.3          , 100000000
CA    ,Morongo Band of Mission Indians                                                       ,Morongo Travel Center @ Morongo Trail                       ,49020 Seminole Dr Cabazon CA 92230                                    ,Class II & III (See 25 CFR 502.3 & 4) ,951-849-2895 ,951-849-3181              ,lbroderick@morongo-nsn.gov                                                            ,       100 ,     2022 ,                 ,               , 11.44854182   ,          
CA    ,Morongo Band of Mission Indians                                                       ,Morongo Travel Center @ Seminole Dr.                        ,48540 Morongo Trail Cabazon CA 92230                                  ,Class II (See 25 CFR 502.3 & 4)       ,951-849-2895 ,951-849-5345              ,Rstjean@morongo.com                                                                   ,        40 ,     2000 ,                 ,               ,  4.579416727  ,          
CA    ,Morongo Band of Mission Indians                                                       ,Morongo Casino Resort & Spa                                 ,49500 Seminole Dr Cabazon CA 92230                                    ,Class II & III (See 25 CFR 502.3 & 4) ,800-252-4499 ,951-849-3181              ,Rstjean@morongo.com                                                                   ,      4000 ,     2004 ,          195000 ,          2018 ,457.9416727    , 250000000
CA    ,Morongo Band of Mission Indians                                                       ,Morongo Canyon Lanes                                        ,49750 Seminole Dr Cabazon CA 92230                                    ,Class II (See 25 CFR 502.3 & 4)       ,909-849-3080 ,909-849-3181              ,Rstjean@morongo.com                                                                   ,         9 ,       20 ,           30000 ,               ,  1.030368764  ,   3400000
CA    ,Pala Band of Luiseno Mission Indians of the Pala Reservation                          ,Pala Casino Resort and Spa                                  ,11154 CA-76 Pala CA 92059                                             ,Class II & III (See 25 CFR 502.3 & 4) ,877-946-7252 ,760-510-5190              ,fburo@palacasino.com or malopez@palacasino.com                                        ,      2250 ,     2001 ,           86000 ,               , 25            , 105000000
CA    ,Paskenta Band of Nomlaki Indians                                                      ,The Convenience Store                                       ,2657 Everett Freeman Way Corning CA 96021                             ,Class II (See 25 CFR 502.3 & 4)       ,530-528-3531 ,530-526-1205              ,tedwards@paskenta.org                                                                 ,        12 ,          ,                 ,               ,  9.3          ,          
CA    ,Paskenta Band of Nomlaki Indians                                                      ,Rolling Hills Casino                                        ,2645 Everett Freeman Way Corning CA 96021                             ,Class III (See 25 CFR 502.3 & 4)      ,530-528-3566 ,530-528-3593              ,sneely@rollinghillscasino.com                                                         ,       850 ,     2002 ,           60000 ,          2019 ,102.5          ,          
CA    ,Pauma Band of Luiseno Mission Indians of the Pauma - Yuima Reservation                ,Casino Pauma                                                ,777 Pauma Reservation Rd Pauma Valley CA 92061                        ,Class II & III (See 25 CFR 502.3 & 4) ,760-742-2177 ,760-742-2438              ,jthomason@casinopauma.com                                                             ,      1050 ,     2001 ,           35000 ,          2018 , 20            , 300000000
CA    ,Pechanga Band of Luiseno Mission Indians of the Pechanga Reservation                  ,Pechanga Resort and Casino                                  ,45000 Pechanga Pkwy Temecula CA 92592                                 ,Class II & III (See 25 CFR 502.3 & 4) ,951-693-1819 ,951-362-7410              ,tbrink@pechanga.com                                                                   ,      5400 ,     2002 ,          200000 ,          2018 ,370            , 562000000
CA    ,Picayune Rancheria of Chukchansi Indians                                              ,Chukchansi Gold Resort and Casino                           ,711 Lucky Ln Coarsegold CA 93614                                      ,Class II & III (See 25 CFR 502.3 & 4) ,             ,                          ,                                                                                      ,      1800 ,     2003 ,           56000 ,               , 43.7          , 150000000
CA    ,Pit River Tribe                                                                       ,Pit River Casino                                            ,20265 Tamarack Ave Burney CA 96013                                    ,Class III (See 25 CFR 502.3 & 4)      ,530-335-2334 ,530-335-2362              ,i.vargas@pitrivercasino.com                                                           ,       150 ,     2005 ,            9000 ,               ,  2.5          ,          
CA    ,Quechan Indian Tribe                                                                  ,Quechan Casino Resort                                       ,525 Algodones Rd Winterhaven CA 92283                                 ,Class II & III (See 25 CFR 502.3 & 4) ,877-783-2426 ,760-572-2036              ,cmontague@playqcr.com                                                                 ,       900 ,     2009 ,           20000 ,               ,  1.4          , 200000000
AZ    ,Quechan Indian Tribe                                                                  ,Quechan Paradise Casino                                     ,450 Quechan Dr Yuma AZ 85364                                          ,Class II & III (See 25 CFR 502.3 & 4) ,760-572-7777 ,760-572-2471              ,cmontague@paradisecasinos.com                                                         ,       500 ,     1996 ,           11000 ,          2011 ,  1.4          ,  13000000
CA    ,Redding Rancheria                                                                     ,Win-River Casino                                            ,2100 Redding Rancheria Rd Redding CA 96001                            ,Class II & III                        ,530-351-1625 ,530-241-1879              ,don.hayward@win-river.com                                                             ,       500 ,     1993 ,           35000 ,          2024 , 15            , 400000000
CA    ,Rincon Band of Luiseno Mission Indians of the Rincon Reservation                      ,Harrah's Southern California Resort                         ,777 S Resort Dr Valley Center CA 92082                                ,Class II & III                        ,760-751-7779 ,760-751-3201              ,Rlivingston1@caesars.com                                                              ,      1500 ,     2004 ,           84000 ,          2012 ,750            , 120000000
CA    ,Robinson Rancheria                                                                    ,Robinson Rancheria Bingo & Casino                           ,1545 CA-20 Nice CA 95464                                              ,Class II & III                        ,707-262-4000 ,707-262-4060              ,ajamarillo@rrrc.com                                                                   ,       300 ,     1989 ,           42000 ,               , 26.4          ,          
CA    ,Round Valley Indian Tribes                                                            ,Hidden Oaks Casino                                          ,76700 Covelo Rd Covelo CA 95428                                       ,Class II & III                        ,707-983-6898 ,707-983-6512              ,rkwolfin@hiddenoakscasino.com                                                         ,       100 ,     2007 ,                 ,               ,  2.5          ,          
CA    ,San Pasqual Band of Diegueno Mission Indians of California                            ,Valley View Casino                                          ,16300 Nyemii Pass Rd Valley Center CA 92082                           ,Class II & III                        ,760-291-5500 ,760-291-5652              ,Marks@sanpasqualtribe.org                                                             ,      2000 ,     2001 ,           65000 ,          2019 ,181            ,  50000000
CA    ,Santa Rosa Rancheria Tachi Yokut Tribe                                                ,Tachi Palace Hotel and Casino                               ,17225 Jersey Ave Lemoore CA 93245                                     ,Class II & III                        ,559-925-1554 ,559-924-6571              ,bvasquez@yokutgas.com                                                                 ,      2000 ,     1994 ,          140000 ,          2021 ,120            ,  60000000
CA    ,Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation              ,Chumash Casino and Resort Enterprises                       ,3400 CA-246 Santa Ynez CA 93460                                       ,Class II & III                        ,805-686-3400 ,805-688-3881              ,Bill.peters@chumashcasino.com                                                         ,      2300 ,     2004 ,          115000 ,          2016 ,120            , 160000000
