State ,Tribe Name                                                                            ,Casino Name                                                 ,Address                                                               ,Game Class Type                       ,Work Phone   ,Work Fax                     ,Email Address                                                                         ,SeatsSlots ,Open_Date ,SquareFeetGaming ,Renovation_Expansion_completeDate ,CasinoWebsiteLink                                                                                                                                                                                                                                                                                                                    ,Cost
AZ    ,Gila River Indian Community of the Gila River Indian Reservation (Arizona)            ,Vee Quiva Casino                                            ,6443 North Komatke Lane Laveen Arizona 85339                          ,Class II & III                        ,520-796-1920 ,520-796-7712                 ,denise.pfaff@gilacasino.com                                                           ,      1200 ,     1995 ,           70000 ,                             2013 ,https://playatgila.com/gaming/vee-quiva/                                                                                                                                                                                                                                                                                             , 135000000
AZ    ,Gila River Indian Community of the Gila River Indian Reservation (Arizona)            ,Wild Horse Pass Casino                                      ,5040 Wild Horse Pass Blvd Chandler AZ 85226                           ,Class II & III                        ,520-796-7139 ,520-796-7712                 ,scott.ogorman@gilacasino.com                                                          ,      1400 ,     2009 ,          100000 ,                             2020 ,https://playatgila.com/gaming/wild-horse-pass/                                                                                                                                                                                                                                                                                       , 480000000
AZ    ,Gila River Indian Community of the Gila River Indian Reservation (Arizona)            ,Lone Butte Casino                                           ,1077 S Kyrene Rd Chandler AZ 85226                                    ,Class II & III                        ,520-796-4903 ,520-796-7712                 ,jaime.martinez@wingilariver.com                                                       ,      1400 ,     2008 ,          120000 ,                             2021 ,https://playatgila.com/gaming/lone-butte/                                                                                                                                                                                                                                                                                            , 240000000
AZ    ,Navajo Nation                                                                         ,Twin Arrows Navajo Casino Resort                            ,22181 Resort Blvd Flagstaff AZ 86004                                  ,Class II & III                        ,928-856-7200 ,928-856-7280                 ,brycewarren@nnge.org                                                                  ,      1100 ,     2013 ,          267000 ,                                  ,https://www.twinarrows.com/casino/                                                                                                                                                                                                                                                                                                   , 175000000
AZ    ,Pascua Yaqui Tribe of Arizona                                                         ,Casino Del Sol                                              ,5655 W Valencia Rd Tucson AZ 85757                                    ,Class II                              ,520-838-6508 ,520-838-6706                 ,Kimberly.VanAmburg@casinodelsol.com                                                   ,      1300 ,     2011 ,           65000 ,                             2019 ,https://www.playaz.com/casinos/casino-del-sol/#:~:text=Opened%20on%20November%2011%2C%202011%2C%20the%20Casino%20del%20Sol%20resort                                                                                                                                                                                                  , 100000000
AZ    ,Pascua Yaqui Tribe of Arizona                                                         ,Casino of the Sun                                           ,7406 S Camino De Oeste Tucson AZ 85746                                ,Class III                             ,520-879-5450 ,520-883-0983                 ,Kimberly.VanAmburg@casinodelsol.com                                                   ,       410 ,     1994 ,           50000 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
AZ    ,Salt River Pima-Maricopa Indian Community                                             ,Casino Arizona                                              ,524 N 92nd St Scottsdale AZ 85256                                     ,Class II & III                        ,480-580-4083 ,480-362-5488                 ,Trenni.Martinez@srpmic-nsn.gov                                                        ,       998 ,     1998 ,          100000 ,                                  ,Replaced by next Casino or Talking Stick Resort                                                                                                                                                                                                                                                                                      ,          
AZ    ,Salt River Pima-Maricopa Indian Community                                             ,Talking Stick Resort                                        ,9800 Talking Stick Way Scottsdale AZ 85256                            ,Class II & III                        ,480-270-5568 ,480-362-5488                 ,Blossom.Maldonado@srpmic-nsn.gov                                                      ,       850 ,     2010 ,           98000 ,                                  ,https://www.azcentral.com/story/news/local/arizona-investigations/2019/08/08/salt-river-indian-community-near-scottsdale-talking-stick-resort-casino-profits/3577329002/https://chanen.com/projects/hospitality/                                                                                                                     , 450000000
AZ    ,San Carlos Apache Tribe of the San Carlos Reservation                                 ,Apache Gold Casino                                          ,777 Geronimo Springs Blvd San Carlos AZ 85550                         ,Class II & III                        ,928-475-7800 ,928-475-7692                 ,lindamichels@agcr.us                                                                  ,       482 ,     1994 ,           60000 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
AZ    ,San Carlos Apache Tribe of the San Carlos Reservation                                 ,Apache Sky Casino                                           ,777 Apache Sky Blvd Winkelmam AZ 85192                                ,Class III                             ,928-475-0077 ,982-475-7692                 ,LeeRandall@agcr.us                                                                    ,       300 ,     2017 ,           15000 ,                                  ,https://indianz.com/IndianGaming/2014/027228.asp                                                                                                                                                                                                                                                                                     ,  26000000
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Casino West Valley Si'al Ke                  ,9431 W Northern Ave Glendale AZ 85305                                 ,Class II & III                        ,623-633-8730 ,520-342-2129                 ,jfdelgado@ddcaz.com                                                                   ,      1400 ,     2015 ,           75000 ,                                  ,https://www.500nations.com/casinos/az-desert-diamond-casino-white-tanks.asp#:~:text=The%20%24450%20million%20construction%20projectis%20targeted%20for%20late%202024.                                                                                                                                                                , 450000000
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Why                                          ,Highway 86 Milepost 55 Why AZ 5321                                    ,Class III                             ,520-362-2746 ,520-362-2885                 ,dchilton@ddcaz.com                                                                    ,        75 ,     1999 ,                 ,                                  ,Gas station Casino                                                                                                                                                                                                                                                                                                                   ,          
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Tucson                                       ,7350 S Nogales Hwy Tucson AZ 85756                                    ,Class II & III                        ,520-294-7777 ,520-342-2019                 ,dchilton@ddcaz.com                                                                    ,      1300 ,     1987 ,          164000 ,                             2007 ,https://www.insidetucsonbusiness.com/construction_real_estate/desert-diamond-s-hotel-and-casino-near-airport-moves-forward/article_50c6c273-2611-5561-8068-cfdf381e0fe4.html                                                                                                                                                         ,  90000000
AZ    ,Tohono O'odham Nation of Arizona                                                      ,Desert Diamond Sahuarita                                    ,1100 W Pima Mine Rd Sahuarita AZ 85629                                ,Class II & III                        ,520-294-7777 ,520-342-2019                 ,dchilton@ddcaz.com                                                                    ,       563 ,     2001 ,          180000 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
AZ    ,Tonto Apache Tribe of Arizona                                                         ,Mazatzal Hotel & Casino                                     ,Highway 87 Mile Marker 251 Payson AZ 85541                            ,Class II & III                        ,928-474-6044 ,928-472-2069                 ,hnanty@mazatzal.com                                                                   ,       400 ,     1993 ,          120000 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
AZ    ,White Mountain Apache Tribe of the Fort Apache Reservation (Arizona)                  ,Hon Dah Resort - Casino                                     ,777 AZ-260 Pinetop AZ 85935                                           ,Class II & III                        ,928-369-0299 ,928-369-0382                 ,elockett@hon-dah.com                                                                  ,       829 ,     1993 ,           18600 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
AZ    ,Yavapai-Apache Nation of the Camp Verde Indian Reservation                            ,Cliff Castle Casino                                         ,2400 W. Datsi Street Camp Verde AZ 86322                              ,Class II & III (See 25 CFR 502.3 & 4) ,928-567-7900 ,928-567-7901                 ,rrubio@cliffcastlecasino.net                                                          ,       650 ,     1995 ,          114000 ,                             2016 ,https://www.500nations.com/casinos/azCliffCastleCasino.asp                                                                                                                                                                                                                                                                           ,  30000000
AZ    ,Yavapai-Prescott Indian Tribe                                                         ,Bucky's Casino                                              ,1500 E. Highway 69 Prescott AZ 86301                                  ,Class II & III (See 25 CFR 502.3 & 4) ,928-778-7909 ,928-771-0653                 ,bogo@ypit.com                                                                         ,       475 ,     1992 ,           24000 ,                                  ,https://www.atgra.org/arizona-indian-casinos/buckys-casino/                                                                                                                                                                                                                                                                          ,  40000000
AZ    ,Yavapai-Prescott Indian Tribe                                                         ,Yavapai Gaming Center                                       ,1505 AZ-69 Prescott AZ 86301                                          ,Class III (See 25 CFR 502.3 & 4)      ,928-445-5767 ,928-771-0653                 ,                                                                                      ,       175 ,     1994 ,            6000 ,                                  ,                                                                                                                                                                                                                                                                                                                                     ,          
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Casino Rancho Mirage                          ,32-250 Bob Hope Dr Rancho Mirage CA 92270                             ,Class II & III (See 25 CFR 502.3 & 4) ,760-883-1000 ,760-202-2616                 ,sscheri@accmail.net                                                                   ,      1500 ,     2001 ,           77000 ,                             2008 ,https://aguacalientecasinos.com/wp-content/uploads/2023/05/Agua-Caliente-Casinos-Fact-Sheet-FINAL-2023.pdf                                                                                                                                                                                                                           , 400000000
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Fuel                                          ,32-279 Bob Hope Dr Rancho Mirage CA 92270                             ,Class II (See 25 CFR 502.3 & 4)       ,760-883-1000 ,                             ,sscheri@accmail.net                                                                   ,        31 ,     2021 ,             750 ,                                  ,https://www.visionaguacaliente.com/fuel/                                                                                                                                                                                                                                                                                             ,          
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Casino Cathedral City                         ,68960 E Palm Canyon Dr Cathedral City CA 92234                        ,Class III (See 25 CFR 502.3 & 4)      ,760-833-1000 ,760-202-2616                 ,sscheri@accmail.net                                                                   ,       500 ,     2020 ,           38000 ,                                  ,https://www.500nations.com/casinos/ca-agua-caliente-cathedral-city.asp  https://www.sandiegouniontribune.com/2019/12/01/agua-caliente-building-new-palms-spring-area-casino-10000-seat-arena-vegas-dining-heats-up/                                                                                                                  , 250000000
CA    ,Agua Caliente Band of Cahuilla Indians                                                ,Agua Caliente Casino Palm Springs                           ,401 E Amado Rd Palm Springs CA 92262                                  ,Class III (See 25 CFR 502.3 & 4)      ,760-883-1000 ,760-883-1289                 ,cgraham@accmail.net                                                                   ,      1000 ,     2000 ,           40000 ,                                  ,https://visitpalmsprings.com/things-to-do/agua-caliente-casino-palm-springs/#:~:text=Agua%20Caliente%20Casino%20Palm%20Springs%20is%20renowned%20for%20its%20expansive                                                                                                                                                               ,  80000000
CA    ,Alturas Indian Rancheria                                                              ,Desert Rose Casino                                          ,901 Co Rd 56 Alturas CA 96101                                         ,Class II & III (See 25 CFR 502.3 & 4) ,530-233-3141 ,530-233-3170                 ,pdisario@desertrosecasino.net                                                         ,       128 ,     1999 ,            6200 ,                                  ,https://www.mercedsunstar.com/news/weird/article19784055.html                                                                                                                                                                                                                                                                        ,   9000000
CA    ,Augustine Band of Cahuilla Indians                                                    ,Augustine Casino                                            ,84-001 Avenue 54 Coachella CA 92236                                   ,Class III (See 25 CFR 502.3 & 4)      ,760-398-9500 ,760-391-9045                 ,jbauer@augustinecasino.com                                                            ,       800 ,     2002 ,           42000 ,                             2016 ,https://www.500nations.com/casinos/caAugustine.asp                                                                                                                                                                                                                                                                                   ,          
CA    ,Barona Group of Capitan Grande Band of Mission Indians                                ,Barona Valley Ranch Resort and Casino                       ,1932 Wildcat Canyon Rd Lakeside CA 92040                              ,Class II & III (See 25 CFR 502.3 & 4) ,619-443-2300 ,619-443-6977                 ,                                                                                      ,      2200 ,     1993 ,          300000 ,                             2003 ,https://www.hotelmanagement-network.com/projects/barona/#:~:text=two-year%20expansion.-The%20%24260%20million%20Barona%20Valley%20Ranch%20Resort%20and%20Casino%20openedBarona%20Indian%20Reservation%2C%20San%20Diego.                                                                                                              , 260000000
CA    ,Bear River Band of the Rohnerville Rancheria                                          ,Bear River Casino Resort                                    ,11 Bear Paws Way Loleta CA 95551                                      ,Class II & III (See 25 CFR 502.3 & 4) ,707-733-9644 ,707-733-9614                 ,joeclaus@bearrivercasino.com                                                          ,       350 ,     2012 ,           13060 ,                             2017 ,https://www.i5design.com/portfolio/bear-river-casino                                                                                                                                                                                                                                                                                 ,          
CA    ,Bear River Band of the Rohnerville Rancheria                                          ,Bear River Pump and Play                                    ,10 Bear Paws Way Loleta CA 95551                                      ,Class III (See 25 CFR 502.3 & 4)      ,707-733-9646 ,707-733-9614                 ,joeclaus@bearrivercasino.com                                                          ,        38 ,     2020 ,                 ,                                  ,https://www.casinocity.com/california/loleta/bear-river-pump-and-play/                                                                                                                                                                                                                                                               ,   2500000
CA    ,Berry Creek Rancheria of Maidu Indians of California                                  ,Gold Country Casino                                         ,4020 Olive Hwy Oroville CA 95966                                      ,Class II & III (See 25 CFR 502.3 & 4) ,530-534-9892 ,530-534-9173                 ,foppenheim@goldcountrycasino.com                                                      ,       950 ,     2005 ,           60000 ,                                  ,https://www.casinocity.com/california/oroville/gold-country-casino-resort/                                                                                                                                                                                                                                                           ,   1500000
CA    ,Big Sandy Band of Western Mono Indians                                                ,Mono Wind Casino                                            ,37302 Rancheria Ln Auberry CA 93602                                   ,Class III (See 25 CFR 502.3 & 4)      ,559-855-4350 ,559-855-4351                 ,ksmith@monowind.com                                                                   ,       350 ,     1995 ,           10000 ,                             2025 ,https://www.500nations.com/casinos/ca-north-fork-mono-casino.asp                                                                                                                                                                                                                                                                     , 400000000
CA    ,Big Valley Band of Pomo Indians                                                       ,Konocti Vista Casino Resort & Marina                        ,2755 Mission Rancheria Rd Lakeport CA 95453                           ,Class III (See 25 CFR 502.3 & 4)      ,707-262-1900 ,707-262-1978                 ,jgarcia@konocti-vista-casino.com                                                      ,       249 ,     2013 ,           20000 ,                                  ,https://konocti-vista-casino.com                                                                                                                                                                                                                                                                                                     ,          
CA    ,Bishop Paiute Tribe                                                                   ,Wanaaha Casino fka Paiute Palace                            ,2742 N Sierra Hwy Bishop CA 93514                                     ,Class II & III (See 25 CFR 502.3 & 4) ,760-873-4150 ,760-873-3560                 ,mpadilla@wanaaha.com                                                                  ,       500 ,     2020 ,           28800 ,                                  ,https://indianz.com/IndianGaming/2013/07/05/bishop-paiute-tribe-weighs-118.asp                                                                                                                                                                                                                                                       , 118000000
CA    ,Blue Lake Rancheria                                                                   ,Playstation 777                                             ,Casino Way Blue Lake CA 95525                                         ,Class III (See 25 CFR 502.3 & 4)      ,707-668-9770 ,707-668-9753                 ,jramos@bluelakecasino.com                                                             ,        77 ,     2020 ,                 ,                                  ,https://www.casinocity.com/california/blue-lake/the-play-station-777/                                                                                                                                                                                                                                                                ,          
CA    ,Blue Lake Rancheria                                                                   ,Blue Lake Casino                                            ,777 Casino Way Blue Lake CA 95525                                     ,Class II & III (See 25 CFR 502.3 & 4) ,707-668-9770 ,707-668-9753                 ,jramos@bluelakecasino.com                                                             ,       611 ,     2020 ,           44502 ,                                  ,https://www.casinocity.com/california/blue-lake/blue-lake-casino-and-hotel/                                                                                                                                                                                                                                                          ,          
CA    ,Buena Vista Rancheria of Me-Wuk Indians                                               ,Harrah's Northern California                                ,4640 Coal Mine Rd Ione CA 95640                                       ,Class III (See 25 CFR 502.3 & 4)      ,866-915-0777 ,209-274-9814                 ,lyahrling@caesars.com                                                                 ,       950 ,     2019 ,           25000 ,                                  ,https://www.caesars.com/harrahs-northern-california/casino                                                                                                                                                                                                                                                                           , 168000000
CA    ,Cabazon Band of Mission Indians                                                       ,Fantasy Springs Resort Casino                               ,84-245 Indio Springs Pkwy Indio CA 92203                              ,Class II & III (See 25 CFR 502.3 & 4) ,760-342-5000 ,760-342-6191                 ,pryan@fantasysprings.net                                                              ,      1800 ,     2004 ,          100000 ,                                  ,                                                                                                                                                                                                                                                                                                                                     , 200000000
CA    ,Cachil Dehe Band of Wintun Indians of the Colusa Indian Community                     ,Colusa Casino Resort                                        ,3770 CA-45 Colusa CA 95932                                            ,Class II & III (See 25 CFR 502.3 & 4) ,530-458-8844 ,530-458-2018                 ,vfernandez@colusacasino.com                                                           ,      1200 ,     1986 ,           50000 ,                             2004 ,https://chptap.ornl.gov/profile/487/Colusa_Casino_and_Indian_Community-Project_Profile.pdf                                                                                                                                                                                                                                           , 300000000
CA    ,Cahuilla Band of Mission Indians of the Cahuilla Reservation                          ,Cahuilla Casino                                             ,52702 CA-371 Anza CA 92539                                            ,Class II & III (See 25 CFR 502.3 & 4) ,909-763-1200 ,909-763-2050                 ,                                                                                      ,       353 ,     1996 ,           14000 ,                             2019 ,https://www.pressenterprise.com/2019/10/09/the-new-cahuilla-casino-hotel-is-under-construction-go-inside-and-find-out-what-it-will-have/#:~:text=The%20%2435.2%20million%20project%20willevent%20space%20and%20a%20restaurant.                                                                                                       ,  35200000
CA    ,Campo Band of Diegueno Mission of the Campo Indian Reservation                        ,Golden Acorn Casino                                         ,1800 Golden Acorn Way Campo CA 91906                                  ,Class III (See 25 CFR 502.3 & 4)      ,619-938-6000 ,619-938-6100                 ,                                                                                      ,       720 ,     2001 ,           32000 ,                             2019 ,https://www.casinos.us/california/san-diego/golden-acorn/                                                                                                                                                                                                                                                                            ,  50000000
CA    ,Chemehuevi Indian Tribe of the Chemehuevi Reservation                                 ,Havasu Landing Resort & Casino                              ,13145 Havasu Lake Rd Needles CA 92363                                 ,Class III (See 25 CFR 502.3 & 4)      ,760-858-4593 ,760-858-4593                 ,tporcaro@myhlrc.com                                                                   ,       250 ,     2019 ,           72500 ,                                  ,https://www.500nations.com/casinos/caHavasuLanding.asp#:~:text=The%20new%20Havasu%20Landing%20Resortmiles%20of%20Colorado%20River%20shoreline.                                                                                                                                                                                       ,  40000000
CA    ,Cher-Ae Heights Indian Community of the Trinidad Rancheria                            ,Cher-Ae-Heights Casino                                      ,27 Scenic Drive Trinidad Ca 95570                                     ,Class II & III (See 25 CFR 502.3 & 4) ,707-677-3611 ,707-677-9434                 ,ryansundberg@cheraeheights.com                                                        ,       300 ,     1988 ,           50000 ,                             2001 ,https://www.northcoastjournal.com/050202/cover0502.html                                                                                                                                                                                                                                                                              ,    400000
CA    ,Chicken Ranch Rancheria of Me-wuk Indians of California                               ,Chicken Ranch Casino & Bingo                                ,9100 People of the Mountain Rd Jamestown CA 95327                     ,Class II & III (See 25 CFR 502.3 & 4) ,209-984-3000 ,209-984-3000                 ,bnelson@chickenranchcasino.com                                                        ,       600 ,     2000 ,           70000 ,                             2019 ,https://www.500nations.com/casinos/caChickenRanch.asp                                                                                                                                                                                                                                                                                , 325000000
CA    ,Coyote Valley Band of Pomo Indians                                                    ,Coyote Valley Mini Casino                                   ,77 BIA Rd 228 Redwood Valley CA 95470                                 ,Class II (See 25 CFR 502.3 & 4)       ,707-485-0700 ,707-467-4771                 ,mbilodeau@coyotevalleycasino.com                                                      ,        50 ,     2016 ,            3600 ,                                  ,https://www.casinocity.com/california/redwood-valley/coyote-valley-mini-casino/                                                                                                                                                                                                                                                      ,    150000
CA    ,Dry Creek Rancheria Band of Pomo Indians                                              ,River Rock Casino                                           ,3250 CA-128 Geyserville CA 95441                                      ,Class III (See 25 CFR 502.3 & 4)      ,707-857-2777 ,707-857-2726                 ,sue.ascanio@riverrockcasino.com                                                       ,      1000 ,     2002 ,           30000 ,                             2024 ,https://www.pressdemocrat.com/article/news/river-rock-casino-expansion/                                                                                                                                                                                                                                                              , 300000000
CA    ,Elk Valley Rancheria                                                                  ,Elk Valley Casino                                           ,2021 Elk Rnch Rd Crescent City CA 95531                               ,Class II & III (See 25 CFR 502.3 & 4) ,707-465-2651 ,                             ,smcclaflin@elk-valley.com                                                             ,       300 ,     1995 ,           36000 ,                             2022 ,https://www.elkvalleycasino.com                                                                                                                                                                                                                                                                                                      ,  30000000
